hex_id,value
8509a093fffffff,1
8509a097fffffff,1
8509a463fffffff,1
8509a46ffffffff,1
8509a473fffffff,1
8509a477fffffff,1
8509a47bfffffff,1
8509a687fffffff,1
8509a6b7fffffff,5
85182113fffffff,2
85182183fffffff,2
8518218bfffffff,11
8518218ffffffff,4
85182197fffffff,1
851821c3fffffff,1
851821d7fffffff,2
851821dbfffffff,1
85182503fffffff,9
85182507fffffff,5
8518250bfffffff,22
8518250ffffffff,3
85182517fffffff,1
85182527fffffff,2
85182537fffffff,1
85182563fffffff,2
85182567fffffff,4
8518256ffffffff,1
85182587fffffff,9
8518258ffffffff,2
851825a3fffffff,2
851825a7fffffff,2
851825abfffffff,1
851825affffffff,4
851825b3fffffff,2
851825b7fffffff,1
851825bbfffffff,1
85182993fffffff,1
85182997fffffff,7
85182d23fffffff,6
85182d27fffffff,7
85182d2ffffffff,4
85182d37fffffff,5
8518709bfffffff,1
851870d3fffffff,33
851870d7fffffff,3
851870dbfffffff,32
85187293fffffff,5
85187403fffffff,12
85187407fffffff,9
8518740bfffffff,12
8518740ffffffff,6
85187413fffffff,5
85187417fffffff,8
8518742bfffffff,1
85187433fffffff,10
8518743bfffffff,25
85187463fffffff,21
85187467fffffff,7
8518746bfffffff,16
8518746ffffffff,41
85187473fffffff,19
85187477fffffff,28
8518747bfffffff,3
85187483fffffff,5
85187487fffffff,7
8518748bfffffff,8
8518748ffffffff,9
85187493fffffff,23
85187497fffffff,11
8518749bfffffff,1
851874a3fffffff,17
851874a7fffffff,14
851874abfffffff,15
851874affffffff,61
851874b3fffffff,11
851874b7fffffff,6
851874bbfffffff,4
851875d3fffffff,13
851875dbfffffff,4
85187637fffffff,1
851876a7fffffff,4
85190137fffffff,7
85190817fffffff,1
8519083bfffffff,2
85190877fffffff,1
8519088ffffffff,2
85190893fffffff,6
8519089bfffffff,1
851908a7fffffff,2
851908abfffffff,1
851908b7fffffff,9
851908d3fffffff,1
85190907fffffff,12
8519090ffffffff,2
85190913fffffff,2
85190917fffffff,1
8519091bfffffff,2
85190923fffffff,7
85190927fffffff,7
8519092bfffffff,3
8519092ffffffff,6
85190933fffffff,23
85190937fffffff,7
8519093bfffffff,2
85190947fffffff,3
8519095bfffffff,2
85190973fffffff,1
85190977fffffff,7
8519097bfffffff,2
85190987fffffff,3
8519098bfffffff,1
85190993fffffff,1
85190997fffffff,1
851909a3fffffff,2
851909a7fffffff,69
851909abfffffff,10
851909affffffff,257
851909b3fffffff,2
851909b7fffffff,9
851909bbfffffff,2
851909cbfffffff,10
851909dbfffffff,1
85190a83fffffff,1
85190a87fffffff,2
85190a97fffffff,1
85190b33fffffff,1
85190b3bfffffff,1
85190b9bfffffff,1
85190ba3fffffff,2
85190babfffffff,1
85190c0ffffffff,2
85190c2bfffffff,1
85190c67fffffff,1
85190c6ffffffff,2
85190c8bfffffff,2
85190c8ffffffff,4
85190ca3fffffff,1
85190cb7fffffff,1
85190d17fffffff,2
85190d37fffffff,3
85190d3bfffffff,1
85190d47fffffff,2
85190d6bfffffff,4
85190d6ffffffff,1
85190d7bfffffff,1
85190d87fffffff,3
85190d8ffffffff,5
85190d97fffffff,1
85190daffffffff,3
85190dc3fffffff,1
85190dc7fffffff,1
85190dcbfffffff,2
85190dd3fffffff,1
85190e07fffffff,1
85190e3bfffffff,2
85190e87fffffff,2
85190ea7fffffff,1
85190eb7fffffff,2
85192873fffffff,3
85192877fffffff,1
8519288bfffffff,1
